SUBZONE,TOTAL,INDIANS
Southern Group,,
Straits View,,
Gali Batu,130,10
Kranji,20,
Pang Sua,20,
Reservoir View,20,
Turf Club,660,90
Simei,42710,4810
Tampines East,138500,10800
Tampines North,,
Tampines West,78110,5800
Xilin,1920,140
Chatsworth,5740,860
Nassim,8340,640
Ridout,1400,140
Tyersall,3520,290
Tengah,10,
Bidadari,10,
Boon Teck,15110,1200
Braddell,10760,760
Joo Seng,6720,550
Kim Keat,8610,810
Lorong 8 Toa Payoh,8220,540
Pei Chun,11780,730
Potong Pasir,12650,1410
Sennett,4540,280
Toa Payoh Central,30740,1990
Toa Payoh West,13360,900
Woodleigh,2440,120
Tengeh,,
Tuas Bay,20,
Tuas North,20,
Tuas Promenade,10,
Tuas View,10,
Tuas View Extension,,
Jurong Island and Bukom,,
Semakau,,
Sudong,,
Western Water Catchment,900,90
Greenwood Park,70,
Midview,35510,3920
North Coast,14610,1950
Senoko West,20,
Woodgrove,35850,3730
Woodlands East,95510,10730
Woodlands Regional Centre,,
Woodlands South,35840,3910
Woodlands West,32890,3560
Khatib,10850,1050
Lower Seletar,2870,230
Nee Soon,900,50
Northland,30380,3190
Springleaf,3880,190
Yishun Central,1490,130
Yishun East,54880,5350
Yishun South,38840,4010
Yishun West,57890,6040
